#,单词,音标,解释,笔记

0,"acquire","英:/ə'kwaɪə/ 美:/ə'kwaɪr/","vt. 获得；学到；取得；捕获",

1,"advertise","英:/'ædvətaɪz/ 美:/'ædvɚtaɪz/","vt. 公布, 宣传 vt. & vi. (给…)做广告宣传",

2,"aggregation","英:/ˌæɡrɪ'ɡeɪʃən/ 美:/ˌægrɪ'geʃən/","n. 聚集,集成;集结 聚集体,集成体",

3,"alias","英:/'eɪlɪəs/ 美:/'elɪəs/","n. 别名，化名 adv. 别名叫；化名为",

4,"archive","英:/ˈɑ:kaiv/ 美:/'ɑrkaɪv/","v. 存档 n. 档案文件",

5,"asynchronous","/ei'siŋkrənəs/","adj. 异步的",

6,"automatic","英:/ɔːtə'mætɪk/ 美:/'ɔtə'mætɪk/","adj. 自动的；无意识的；必然的 n. 自动装置；半自动武器",

7,"battery","英:/'bæt(ə)rɪ/ 美:/'bætri/","n. 电池，蓄电池",

8,"bound","英:/baʊnd/ 美:/baʊnd/","vi. 跳; 弹回 2.vt. 给…划界, 限制 3.adj.被捆绑的, 被束缚的；一定的, 必定的;",

9,"callback","英:/'kɔːlbæk/ 美:/'kɔlbæk/","n. 回叫信号；回收",

10,"canvas","英:/'kænvəs/ 美:/'kænvəs/","n. 帆布 vt. 用帆布覆盖，用帆布装备",

11,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","n. 能力；容量；生产力；资格，地位",

12,"character","英:/'kærəktə/ 美:/'kærəktɚ/","n. 个性；品质；字符；人物；名誉；地位 adj. [剧](角色)代表某一特性的",

13,"collation","英:/kə'leɪʃ(ə)n/ 美:/kəˈleʃən/","n. 核对,校勘;考订,对照 冷食小吃,便餐",

14,"collection","英:/kə'lekʃ(ə)n/ 美:/kə'lɛkʃən/","n. 收集；收取，托收；聚集；收藏品；募捐",

15,"column","英:/'kɒləm/ 美:/'kɑləm/","n. 圆柱，柱形物；纵队，列；专栏",

16,"compatible","英:/kəm'pætɪb(ə)l/ 美:/kəm'pætəbl/","adj. 可以并存的, 相容的, 协调的",

17,"connect","英:/kə'nekt/ 美:/kə'nɛkt/","vt. 连接；联合；关连 vi. 连接，连结；联合",

18,"connector","英:/kə'nektə(r)/ 美:/kə'nɛktɚ/","n. 连接器；连接体",

19,"constraint","英:/kən'streɪnt/ 美:/kən'strent/","n. 约束；强制；约束条件；对感情的压抑；虚情假意",

20,"coordinator","英:/kəʊˈ ɔ:dɪneɪtə/ 美:/ko'ɔrdn,etɚ/","n. 协调者；同等的人或物；【自】协调器",

21,"criteria","英:/kraɪ'tɪrɪə/ 美:/kraɪˈtɪrɪə/","n. 标准，条件（criterion的复数）",

22,"cursor","英:/ˈkɜ:sə/ 美:/'kɝsɚ/","n. （计算尺的）游标，指针；[计]光标",

23,"deprecate","英:/'deprɪkeɪt/ 美:/'dɛprəket/","vt. 不赞成, 反对",

24,"descendent","英:/di'sendənt/ 美:/dɪˈsɛndənt/","adj. 下降的；降落的；世袭的 n. 后代；子孙",

25,"detach","英:/dɪ'tætʃ/ 美:/dɪ'tætʃ/","vt. 分离；派遣；使超然",

26,"disposal","英:/dɪ'spəʊz(ə)l/ 美:/dɪ'spozl/","n. 清理；处理；支配；安排",

27,"dispose","英:/dɪ'spəʊz/ 美:/dɪ'spoz/","vt. 处理；处置；安排 vi. 处理；安排；（能够）决定",

28,"domain","英:/də(ʊ)'meɪn/ 美:/do'men/","n. 领域；产业；地产；[计]域名",

29,"earliest","/'ɝlɪɪst/","n. 最早 adj. 最早的",

30,"enhancement","英:/ɪnˈhɑ:nsmənt/ 美:/in'hænsmənt/","n. 增强；提高；放大",

31,"establish","英:/ɪ'stæblɪʃ/ 美:/əˈstæblɪʃ; ɪˈstæblɪʃ/","vt. 建立, 成立 安置 确定, 证实",

32,"exhaustion","英:/ɪg'zɔːstʃ(ə)n/ 美:/ɪg'zɔstʃən/","n. 精疲力竭;疲劳",

33,"expense","英:/ɪk'spens/ 美:/ɪk'spɛns/","n. 开支；消费；损失，代价 vt. 向…收取费用",

34,"explicit","英:/ɪk'splɪsɪt/ 美:/ɪk'splɪsɪt/","adj. 清楚的；明确的；直率的；详述的",

35,"explicitly","/ik'splisitli/","adv. 明白地,明确地",

36,"extract","英:/ɪk'strækt/ 美:/ɪkˈstrækt/","vt. 摘录；提取；拔出；榨出；选取 n. 摘录；精华；榨出物",

37,"feature","英:/'fiːtʃə/ 美:/'fitʃɚ/","n. 容貌；特色，特征；特写或专题节目 vi. 起重要作用",

38,"feedback","英:/'fiːdbæk/ 美:/'fidbæk/","n. 反馈；回复；成果，资料",

39,"fetch","英:/fetʃ/ 美:/fɛtʃ/","vt. 取来；卖得；给（某人）一击 n. 取得",

40,"folder","英:/'fəʊldə/ 美:/'foldɚ/","n. 文件夹；折叠机；折叠式印刷品",

41,"fractional","英:/'frækʃ(ə)n(ə)l/ 美:/'frækʃənl/","adj. 微不足道的, 极小的, 极少的 分数的;小数的",

42,"identity","英:/aɪ'dentɪtɪ/ 美:/aɪ'dɛntəti/","n. 身份；同一性，一致；恒等式；特性",

43,"implement","英:/'ɪmplɪm(ə)nt/ 美:/'ɪmplɪmɛnt/","vt. 使生效, 贯彻, 执行 n. 工具, 器具, 用具",

44,"indicator","英:/'ɪndɪkeɪtə/ 美:/'ɪndɪketɚ/","n. 指示器；指示剂；指示牌；【统计学】指标；【计】指示符",

45,"inspect","英:/ɪn'spekt/ 美:/ɪn'spɛkt/","vt. 检查；视察；检阅 vi. 进行检查；进行视察",

46,"instance","英:/'ɪnst(ə)ns/ 美:/'ɪnstəns/","n. 实例；情况；建议 vt. 举...为例",

47,"institute","英:/'ɪnstɪtjuːt/ 美:/'ɪnstɪtut/","vt. 建立, 制定; 开始, 着手 n. 协会, 学会; 学院, 研究院",

48,"invoke","英:/ɪn'vəʊk/ 美:/ɪn'vok/","vt. 援引；引起；求助；请求；乞灵于",

49,"iterate","英:/'ɪtəreɪt/ 美:/'ɪtərət/","vt. 反复说；重复；重做；[计]迭代",

50,"manual","英:/'mænjʊ(ə)l/ 美:/'mænjuəl/","adj. 体力的；手工的 n. 手册，指南",

51,"mapping","英:/'mæpɪŋ/ 美:/'mæpɪŋ/","v. 绘图；筹划（map的ing形式） n. 地图；映像；绘图",

52,"native","英:/'neɪtɪv/ 美:/'netɪv/","adj. 本国的；土著的；与生俱来的；天然的；天赋的 n. 本地人；土产；当地居民",

53,"option","英:/'ɒpʃ(ə)n/ 美:/'ɑpʃən/","n. 选择权；选项；[经]买卖的特权",

54,"periodically","英:/ˌpɪərɪ'ɒdɪkəlɪ/ 美:/pɪrɪ'ɑdɪkli/","adv. 周期性地 定期地;偶尔",

55,"plain","英:/pleɪn/ 美:/plen/","adj. 平的；朴素的；简单的；清晰的 n. 平原；[计]无格式；朴实无华的东西",

56,"plate","英:/pleɪt/ 美:/plet/","n. 盘子, 碟 金属牌 平板, 薄片 vt. 镀, 电镀",

57,"policy","英:/ˈpɒləsi/ 美:/'pɒləsi/","n. 政策，方针；保险单",

58,"portion","英:/'pɔːʃ(ə)n/ 美:/'pɔrʃən/","n. 部分；一份；命运 vt. 分配；给…嫁妆",

59,"precaution","英:/prɪ'kɔːʃ(ə)n/ 美:/prɪ'kɔʃən/","n. 预防；预防措施",

60,"precision","英:/prɪ'sɪʒ(ə)n/ 美:/prɪ'sɪʒn/","n. 精确度, 准确(性)",

61,"prefix","英:/'priːfɪks/ 美:/'prifɪks/","n. 前缀 vt. 加前缀；将某事物加在前面",

62,"present","英:/'prez(ə)nt/ 美:/'prɛznt/","vt. 呈现；介绍；提出；赠送 vi. 举枪瞄准",

63,"primary","英:/'praɪm(ə)rɪ/ 美:/'praɪmɛri/","adj. 主要的；初级的；基本的 n. 原色；最主要者",

64,"prompting","英:/ˈprɔmptɪŋ/ 美:/'prɑmptɪŋ/","n. 推动,奖励,驱使",

65,"property","英:/'prɒpətɪ/ 美:/'prɑpɚti/","n. 财产；性质，性能；所有权",

66,"publication","英:/ˌpʌblɪ'keɪʃ(ə)n/ 美:/ˌpʌblɪ'keʃən/","n. 出版；发行；出版物；公布；发表",

67,"pull","英:/pʊl/ 美:/pʊl/","vt. 拉；拖；拔 vi. 拉，拖；拔",

68,"query","英:/'kwɪərɪ/ 美:/'kwɪri/","n. 疑问，质问；疑问号 vt. 询问；对……表示疑问",

69,"r","/ɑ:/","n. 字母r",

70,"recessed","/rɪ'sɛst/","adj. 嵌壁式的；深底的 v. 使凹进；休会（recess的过去分词）",

71,"recursion","英:/rɪ'kɜːʃ(ə)n/ 美:/rɪ'kɝʃən/","n. 递归,递归式",

72,"redundancy","英:/rɪ'dʌnd(ə)nsɪ/ 美:/rɪ'dʌndənsi/","n. （尤指文字）多余，累赘，啰唆；失业，被解雇，裁员",

73,"repository","英:/rɪ'pɒzɪt(ə)rɪ/ 美:/rɪ'pɑzə'tɔri/","n. 存放处，储藏室; 仓库；宝库",

74,"retention","英:/rɪ'tenʃ(ə)n/ 美:/rɪ'tɛnʃən/","n. 保留物；保存；保持(力)；记忆力",

75,"role","英:/rəul/ 美:/rol/","n. 角色；任务",

76,"row","英:/rəʊ/ 美:/ro/","n. 行，排；吵闹；划船；街道 vt. 划船；使……成排",

77,"sibling","英:/'sɪblɪŋ/ 美:/'sɪblɪŋ/","n. 兄弟姊妹；民族成员",

78,"single","英:/'sɪŋg(ə)l/ 美:/'sɪŋɡl/","adj. 单一的；单身的；单程的 n. 单打；单程票；一个",

79,"singleton","英:/'sɪŋg(ə)lt(ə)n/ 美:/'sɪŋɡltən/","n. 一个,独身,单独",

80,"spreadsheet","英:/ˈspredˌʃi:t/ 美:/'sprɛdʃit/","n. 电子制表软件,电子数据表",

81,"successful","英:/sək'sesfʊl/ 美:/sək'sɛsfl/","adj. 成功的; 如愿以偿的; 达到目的",

82,"token","英:/'təʊk(ə)n/ 美:/'tokən/","n. 代币；记号；表征 adj. 表意的；象征的；作为对某事的保证的",

83,"transaction","英:/træn'zækʃ(ə)n/ 美:/træn'zækʃən/","n. 处理, 办理, 执行 (一笔)交易; (一项)事务",

84,"traverse","英:/'trævəs/ 美:/trə'vɝs/","n. 横贯；横木 v. 横贯；穿越；详细讨论；阻止；否认；【计】遍历",

85,"trigger","英:/'trɪgə/ 美:/'trɪɡɚ/","vt. 触发；引发，引起 vi. 松开扳柄",

86,"tutorial","英:/tjuː'tɔːrɪəl/ 美:/tu'tɔrɪəl/","adj. 辅导的；家庭教师的，个别指导的 n. 个别指导",

87,"university","英:/ˌju:niˈvə:siti/ 美:/ˌjunɪ'vɝsəti/","n. 大学",

88,"validate","英:/'vælɪdeɪt/ 美:/'vælɪdet/","vt. 确认；使生效；证实，验证",

89,"variable","英:/'veərɪəb(ə)l/ 美:/'vɛrɪəbl/","adj. 易变的，多变的；可变的；[生]变异的，畸变的；[数]变量的 n. 可变物，可变因素；[数]变量",

90,"verify","英:/'verɪfaɪ/ 美:/'vɛrɪfaɪ/","vt. 核实；查证",

91,"核实","英:/'verɪfaɪ/ 美:/'vɛrɪfaɪ/","vt. 核实；查证",
